X,Y
0.43191466257282213,0.07619869251376901
0.4334299747059752,0.07745563836445764
0.43493794077228615,0.07872138797449056
0.43493794077228615,0.07872138797449056
0.4379316303636043,0.08127912644621375
0.4394946497414645,0.0826399330832753
0.440971206725309,0.08394218620993861
0.4424401544330339,0.08525301662017995
0.4424401544330339,0.08525301662017995
0.4454301436917373,0.08797163329203175
0.4469512428602895,0.08937914574672132
0.4483892578250191,0.09072383779089256
0.4498194170058647,0.09207688193277686
0.4512416718939975,0.09343823227917057
0.45272957039873984,0.09488079330686507
0.45413426641545146,0.09626025437303494
0.45413426641545146,0.09626025437303494
0.45691943794320933,0.09904360182167776
0.4583716088765577,0.1005221226566259
0.4583716088765577,0.1005221226566259
0.4624832188195348,0.10476233695177758
0.4652896632086388,0.10767008588124824
